X,Y,r,theta(deg),theta(360),,X,Y,Age,Deviation
356.87725,22.4293,269.20561,-73.841439,286.158561,,74.91898002,-258.5707,8.855519156,0.452827862
345.55109,23.815833,264.9296935,-76.11130011,283.8886999,,63.59282002,-257.184167,8.698970004,0.392067435
350.31597,25.860183,264.1384133,-75.00142643,284.9985736,,68.35770012,-255.139817,7.531478917,0.407488209
330.65925,25.54993,260.0510021,-79.20621717,280.7937828,,48.70097988,-255.45007,6.602059991,0.313505552
330.04507,28.414978,257.1216321,-79.22109424,280.7789058,,48.08680017,-252.585022,8.292256071,0.298285582
365.60998,33.249817,261.4914181,-71.34298259,288.6570174,,83.65170994,-247.750183,9.324899497,0.458039407
349.83366,33.839283,256.3113119,-74.64396779,285.3560322,,67.87538996,-247.160717,8.103803721,0.374003096
358.44496,35.107159,257.5140831,-72.72132829,287.2786717,,76.48668996,-245.892841,7.819543936,0.413742008
373.17852,37.629092,259.9048535,-69.45300402,290.546996,,91.22025011,-243.370908,8.041392685,0.482988855
300.1935,31.296957,250.3679958,-85.82323746,274.1767625,,18.23522985,-249.7030431,6,0.147905778
354.02299,37.248195,254.1815617,-73.52979443,286.4702056,,72.06472014,-243.751805,8.354108439,0.382430172
302.19733,33.089808,248.7349651,-85.33279879,274.6672012,,20.23905995,-247.910192,8.855519156,0.147823769
358.3787,38.500877,254.2555934,-72.50843546,287.4915645,,76.42042984,-242.499123,9.387389826,0.400640821
346.22293,37.529215,251.8093916,-75.21388037,284.7861196,,64.26465987,-243.4707851,8.574031268,0.34065496
339.73552,37.175377,250.5766497,-76.66894659,283.3310534,,57.77724995,-243.824623,8.322219295,0.3087784
310.82262,35.693514,246.9988315,-83.2890658,276.7109342,,28.86435001,-245.306486,8.071882007,0.174243807
322.54482,37.249346,247.1065547,-80.54649669,279.4535033,,40.58654998,-243.750654,8.198657087,0.222686488
310.35651,36.627954,246.0165785,-83.3714445,276.6285555,,28.39824,-244.372046,8.44870632,0.167543906
354.42723,41.178042,250.5320772,-73.18632924,286.8136708,,72.46896016,-239.821958,9.731588765,0.369326613
300.69639,36.589853,245.1273895,-85.6158977,274.3841023,,18.73812001,-244.410147,6.84509804,0.123589098
316.22636,38.216696,245.1897932,-81.96595525,278.0340447,,34.26808981,-242.783304,8.322219295,0.18762876
307.08339,37.742051,244.5520423,-84.1030631,275.8969369,,25.12511998,-243.257949,8.292256071,0.1468898
373.56849,44.024044,254.0669914,-68.86448354,291.1355165,,91.61022017,-236.9759559,8.729974286,0.463259829
334.52594,40.734228,245.949184,-77.65874338,282.3412566,,52.5676699,-240.265772,8.698970004,0.266887534
339.74753,41.209744,246.6555603,-76.45014703,283.549853,,57.78926013,-239.7902559,7,0.291768868
371.71883,44.71639,252.7585854,-69.19897513,290.8010249,,89.76056011,-236.28361,7.633468456,0.450603451
281.92069,36.718105,244.2818979,-90.00881431,269.9911857,,-0.037579974,-244.281895,7,0.042355403
302.72995,39.009261,242.8805889,-85.09394647,274.9060535,,20.77167988,-241.990739,8.416640507,0.120538739
346.17094,43.830703,245.7082466,-74.85058684,285.1494132,,64.21267017,-237.169297,9.387389826,0.314604799
303.03271,40.36674,241.5543372,-84.9948588,275.0051412,,21.07443999,-240.63326,8.636487896,0.115037301
314.17087,41.380912,241.7746036,-82.34348637,277.6565136,,32.21259986,-239.619088,8.667452953,0.162516137
276.71273,39.116577,241.9402943,-91.24233483,268.7576652,,-5.245539868,-241.883423,8.260071388,0.008106635
296.46577,41.03103,240.4071008,-86.54035243,273.4596476,,14.50750013,-239.96897,8.167317335,0.081776415
294.62484,41.671035,239.6639219,-86.97042723,273.0295728,,12.66657012,-239.3289649,8.260071388,0.07018149
298.73265,42.770451,238.8193833,-85.97229845,274.0277016,,16.7743802,-238.229549,8.260071388,0.082940356
284.55397,41.542407,239.4716612,-89.37894293,270.6210571,,2.595700142,-239.457593,8.167317335,0.027085147
322.91804,45.320849,239.2119666,-80.1407788,279.8592212,,40.95977,-235.679151,8.167317335,0.186888641
289.88763,42.530953,238.6008406,-88.09555352,271.9044465,,7.929360102,-238.469047,8.167317335,0.044673545
334.83373,46.667082,240.2243342,-77.2845839,282.7154161,,52.87545999,-234.332918,8.354108439,0.242315707
295.39989,43.400364,237.9795457,-86.76208232,273.2379177,,13.44162009,-237.599636,8.729974286,0.064503832
387.29455,51.86105,252.1911781,-65.31153016,294.6884698,,105.3362799,-229.1389501,7.568201724,0.515484298
333.81887,47.038924,239.6399527,-77.50170909,282.4982909,,51.86059995,-233.961076,8.260071388,0.235309716
278.24538,42.18191,238.8469503,-90.89070216,269.1092978,,-3.71289015,-238.81809,8.824125834,-0.002749556
295.79779,43.799295,237.6040967,-86.66085247,273.3391475,,13.83951988,-237.200705,8.227886705,0.064185552
303.99093,44.559789,237.4645478,-84.67627177,275.3237282,,22.03265988,-236.440211,8.322219295,0.098047187
337.68375,47.724575,239.8390148,-76.56480823,283.4351918,,55.72548011,-233.275425,8.886490725,0.252758241
379.5802,51.893439,249.0378636,-66.9212256,293.0787744,,97.62192999,-229.106561,8.698970004,0.470773517
289.80696,43.824503,237.3053272,-88.10464078,271.8953592,,7.848689921,-237.175497,7.72427587,0.037325105
330.56966,47.816638,238.1964474,-78.22428793,281.7757121,,48.61139011,-233.183362,8.354108439,0.21471953
309.65808,46.10588,236.5217265,-83.27447528,276.7255247,,27.69980991,-234.8941201,7.041392685,0.117259496
296.76282,45.071991,236.3920475,-86.40938133,273.5906187,,14.8045501,-235.928009,8.322219295,0.061820819
321.62321,47.345313,236.997511,-80.36538662,279.6346134,,39.66494007,-233.654687,7.977723605,0.170686484
344.43279,49.68363,239.6045256,-74.88601544,285.1139846,,62.47452015,-231.31637,8.980457892,0.280766939
337.98075,49.270143,238.405631,-76.40908024,283.5909198,,56.02248015,-231.729857,8.636487896,0.24756011
316.84552,47.413209,236.1777067,-81.50540561,278.4945944,,34.88725004,-233.586791,8.103803721,0.146213398
322.89239,48.239489,236.332515,-80.02574678,279.9742532,,40.93411993,-232.760511,8.605305046,0.172903644
278.81494,44.269734,236.7511338,-90.76073483,269.2392652,,-3.143329863,-236.730266,6,-0.012120137
307.01703,46.895479,235.4418574,-83.89027158,276.1097284,,25.05875991,-234.104521,8.698970004,0.100468709
311.60049,48.154297,234.7249084,-82.74503474,277.2549653,,29.64222018,-232.845703,8.729974286,0.116429376
301.46133,47.593795,234.2196104,-85.22354944,274.7764506,,19.50306016,-233.406205,8.260071388,0.070325207
288.26103,46.406444,234.678208,-88.4610204,271.5389796,,6.302760008,-234.593556,8.133538908,0.016403838
293.65155,46.974606,234.3173443,-87.13954599,272.860454,,11.69327998,-234.025394,8.605305046,0.037435692
299.81817,47.806888,233.876043,-85.62035482,274.3796452,,17.85990007,-233.1931119,7.278753601,0.061461106
311.58782,48.883387,234.0000689,-82.72556777,277.2744322,,29.62954987,-232.116613,8.322219295,0.112684802
325.03838,50.209738,234.7765766,-79.42665385,280.5733462,,43.08011019,-230.790262,7.880813592,0.174636707
283.68375,46.45397,234.5523768,-89.57850091,270.4214991,,1.725480041,-234.54603,8.260071388,-0.003808147
295.96799,47.877067,233.5435166,-86.56089777,273.4391022,,14.00971987,-233.122933,8.292256071,0.043166578
292.79423,47.815397,233.4362378,-87.3394107,272.6605893,,10.83596,-233.184603,6.698970004,0.028972209
372.67701,55.278593,243.2694871,-68.10451999,291.89548,,90.71873993,-225.721407,7.113943352,0.419172992
315.70141,50.33156,233.1234195,-81.67756385,278.3224361,,33.74313982,-230.66844,8.385606274,0.126019226
301.479,49.099414,232.7207354,-85.18834807,274.8116519,,19.52072988,-231.900586,8.041392685,0.062461401
302.88212,49.299711,232.6431418,-84.839863,275.160137,,20.92384999,-231.700289,8.354108439,0.068103229
319.22593,50.923317,233.0754353,-80.79918254,279.2008175,,37.26766017,-230.076683,8.167317335,0.141078025
317.92703,51.24512,232.5533414,-81.10240832,278.8975917,,35.96876008,-229.75488,8.605305046,0.132824273
354.62002,54.789776,237.5937612,-72.19228693,287.8077131,,72.66175014,-226.210224,6.77815125,0.316652213
316.74422,51.364709,232.2550951,-81.38612648,278.6138735,,34.78594992,-229.635291,8.385606274,0.126177735
333.07311,53.001572,233.657891,-77.363828,282.636172,,51.11483998,-227.998428,9.011993115,0.204332307
292.86811,49.442197,231.8146689,-87.30250561,272.6974944,,10.90984004,-231.557803,8.51054501,0.020410825
310.38777,51.487138,231.2669243,-82.93880414,277.0611959,,28.42950017,-229.5128619,6.77815125,0.093447732
279.88999,48.986021,232.0231976,-90.51074757,269.4892524,,-2.068280122,-232.013979,8.260071388,-0.03439616
379.24024,58.58945,242.7555034,-66.37551902,293.624481,,97.28197007,-222.41055,8.729974286,0.44655664
317.93654,53.605979,230.2226676,-81.00919435,278.9908056,,35.97826981,-227.394021,8.416640507,0.121149323
313.1954,53.261309,229.8709848,-82.18992218,277.8100778,,31.23712991,-227.738691,8.354108439,0.098522892
292.69738,51.394921,229.8560871,-87.32210811,272.6778919,,10.73911002,-229.605079,8.416640507,0.008863761
307.81078,53.003139,229.4578848,-83.53087575,276.4691243,,25.8525102,-227.996861,8.103803721,0.07274348
260.14505,48.866613,233.156012,-95.36823333,264.6317667,,-21.81321986,-232.133387,8.886490725,-0.112743418
336.44006,56.195316,231.3123676,-76.37693264,283.6230674,,54.48179015,-224.804684,8.385606274,0.208233461
323.50537,55.476846,229.3182385,-79.56169876,280.4383012,,41.54709986,-225.523154,8.51054501,0.141214742
315.47652,54.837624,228.6326604,-81.56987952,278.4301205,,33.51825008,-226.162376,8.354108439,0.102211384
